EntryID,Location,SKU_Code,BatchNo,ExpiryDate,UnitType,QtyPerCtn,TotalQty,Comments,DateAdded,LastUpdated
111111,A-11-2,FBN312,YS,10/2026,PCS,45,"1,261",,12/10/2025,
111112,A-17-2,FBN15,67,02/2025,PCS,78,696,,12/10/2025,
111113,A-18-2,RBN73,ZM,01/2028,PCS,132,"7,260",,12/10/2025,
111114,A-19-2,FBN05/V2,07312323275,12/2026,PCS,30,"1,650",,12/10/2025,
111115,A-21-2,WH404,FH,12/2027,PCS,132,"7,260",,12/10/2025,
111116,A-23-2,FBN315,20511324012,11/2027,PCS,45,"1,994",,12/10/2025,
111117,A-24-2,FBN303,4K11,11/2027,PCS,81,"2,268",,12/10/2025,
111118,A-24-2,TWH401,LC,09/2028,PCS,400,"4,372",,12/10/2025,
111119,A-25-1,FBN302,4L2,12/2027,PCS,,"3,666",,12/10/2025,
111120,A-26-1,FBN61,YW,11/2026,PCS,132,"9,672",,12/10/2025,
111121,A-27-1,FBN22,SQ,01/2026,PCS,,390,,12/10/2025,
111122,A-28-1,FBN93,EU,11/2026,PCS,,624,,12/10/2025,
111123,A-28-2,FBN312,YE,09/2026,PCS,45,"1,215",,12/10/2025,
111124,A-31-2,FBN315,23204424212,04/2027,PCS,45,"2,475",,12/10/2025,
111125,A-33-3,FBN312,YE,09/2026,PCS,45,"1,260",,12/10/2025,
111126,A-34-2,FBN311,28011424425,11/2027,PCS,30,"1,650",,12/10/2025,
111127,A-35-2,FBN311,03312024525,12/2027,PCS,30,902,,12/10/2025,
111128,A-36-2,FBN311,03312024525,12/2027,PCS,30,"1,650",,12/10/2025,
111129,A-37-2,FBN77,FR,01/2028,PCS,132,"7,260",,12/10/2025,
111130,B-15-1,WH401,FE,12/2027,PCS,132,"5,820",,12/10/2025,
111131,B-16-1,WH402,BB,07/2027,PCS,132,48,,12/10/2025,
111132,B-16-1,WH402,FF,12/2027,PCS,132,"1,356",,12/10/2025,
111133,B-16-2,WH402,FF,12/2027,PCS,132,"7,260",,12/10/2025,
111134,B-17-1,WH403,BC,07/2027,PCS,132,264,,12/10/2025,
